time,x,y,z,theta,psi,left,right
27.5,42.2608138620926,27.3439093575185,-60.722631522678,0.331749311945695,1.13753432885899,0,8
27.6,42.302984312396,27.4199424845964,-60.7516701147439,0.345936298879304,1.23021173463809,0,7
27.7,42.3334776106725,27.4887389408759,-60.7780099677083,0.360430141688786,1.32267902336466,0,6
27.8,42.3571794570168,27.5622755975608,-60.8065362514513,0.374626994455279,1.4105494322655,0,5
27.9,42.3777553719922,27.6599012953895,-60.8452964118814,0.388266309822664,1.49239223164845,0,3
28,42.3929815586701,27.7845475165498,-60.8961862817437,0.401501100638488,1.56013948337438,0,3
28.1,42.4003696298338,27.9349068889437,-60.9595954466286,0.41449861618188,1.60554396943254,0,2
28.2,42.3995775333499,28.1073697394048,-61.0349291878048,0.426907735159307,1.63696581364506,0,2
28.3,42.3917140587302,28.296769500657,-61.1205184716217,0.438373275160786,1.66929075571781,0,2
28.4,42.377133355706,28.4940351438376,-61.2125454356833,0.447654482094498,1.69777330795089,0,1
28.5,42.3567342832941,28.6908599622114,-61.3067291533428,0.450310405735871,1.71063756455638,0,1
28.6,42.3322699951146,28.8886534230181,-61.4026660376306,0.449931597878496,1.72250715068997,0,1
28.7,42.3047023387098,29.0885843058566,-61.5000931652416,0.448257209841875,1.73641526204764,0,1
28.8,42.2740446141838,29.2908600526465,-61.5986645378459,0.446140838636808,1.75261352718209,0,1
28.9,42.2401870585118,29.494056041326,-61.697541817393,0.444234096311642,1.76673469524944,0,1
29,42.2031801644308,29.6979196052954,-61.796540533333,0.441808971982642,1.782443629144,0,1
29.1,42.1632942043154,29.9004543814602,-61.8946626590175,0.438840951309179,1.79476972048753,0,0
29.2,42.1197871933978,30.1059250276643,-61.9931531274169,0.424562481864454,1.7895284548358,0,1
29.3,42.0749135334278,30.3146888059142,-62.0907354720326,0.413213307151653,1.78618841110942,0,1
29.4,42.0299068343159,30.5250191801179,-62.18627873825,0.402882563370707,1.78295938209578,0,0
29.5,41.9852148018163,30.7371084315596,-62.2797928917179,0.392148980165094,1.77657770592074,0,1
29.6,41.941301250058,30.9502042887839,-62.3710297863626,0.381879134320046,1.76973041230385,0,1
29.7,41.8987602088393,31.1626395846403,-62.4593670687965,0.373441839299456,1.764114447155,0,0
29.8,41.8579098572915,31.3737191657717,-62.5447210993119,0.364564835354749,1.7560040917886,0,1
29.9,41.8183272347557,31.5860979642437,-62.6283406489094,0.357352902241523,1.74846236685771,0,0
30,41.7802967335667,31.7991609505607,-62.7102069625906,0.350782116553847,1.73918344639135,0,1
30.1,41.7439052514319,32.0130183419304,-62.7906481145264,0.346078079947813,1.7306425573354,0,1
30.2,41.7094397703813,32.2264420623679,-62.8695090193564,0.342204996544517,1.72154948680494,0,0
30.3,41.6768109487907,32.4406848912864,-62.9474822601473,0.338347860615587,1.71077581210593,0,1
30.4,41.6462627466015,32.6547094943533,-63.0243893740718,0.33666488163773,1.70152772694905,0,0
30.5,41.6178256527539,32.8686909654586,-63.1005719982778,0.335414328985452,1.69092416987953,0,0
30.6,41.5915176623578,33.0832654627667,-63.1764864351629,0.335075567653091,1.67917934143407,0,1
30.7,41.5673266056087,33.2989795924962,-63.2525659670098,0.335562604085818,1.66862339971896,0,0
30.8,41.5454370196512,33.5150894763523,-63.3286698329656,0.335630603640641,1.65651006685207,0,0
30.9,41.5258663314346,33.732513261906,-63.4051266278744,0.334927963525592,1.64373495831763,0,1
31,41.5086577210733,33.9521802060317,-63.482140274451,0.333661647011831,1.63192553930925,0,0
31.1,41.4940095396608,34.1727476242468,-63.5590609857247,0.331648097419865,1.61764226533752,0,1
31.2,41.4821692700095,34.3924141432757,-63.6352146985415,0.331067137841364,1.60537096759465,0,0
31.3,41.4731892360354,34.6103170878555,-63.7104956307133,0.331623784814971,1.59120148720361,0,1
31.4,41.4671315790624,34.8256662177099,-63.7848471015831,0.331571056448012,1.57695949185835,0,1
31.5,41.4639434229274,35.0384794119011,-63.8582451941985,0.331542609885249,1.56418961511766,0,0
31.6,41.463575539501,35.2498428965804,-63.9310983513674,0.332285366455845,1.5491195158259,0,1
31.7,41.4659647541128,35.4558716997584,-64.0022843028336,0.335235036964605,1.53556517574259,0,1
31.8,41.4709790585069,35.6564311120432,-64.0720983781849,0.339551363065733,1.52231177638521,0,0
31.9,41.4784315357803,35.850766375979,-64.1405248239292,0.344530628705848,1.50777910553344,0,1
32,41.4882374274145,36.0402297648095,-64.2082705865162,0.351201616313245,1.49378810437154,0,1
32.1,41.5002748085326,36.2251013718424,-64.2756813628791,0.358763885516051,1.47994672027316,0,1
32.2,41.5146528995444,36.4080833888053,-64.3439334134338,0.366606894960316,1.46605311548314,0,1
